Code,BranchOffice
010,Aguascalientes
012,Calvillo
014,Jesús María
020,Mexicali
022,Ensenada
027,Tecate
027,Tijuana
028,La Mesa
028,Rosarito
028,Tijuana
040,La Paz
041,Cabo San Lucas
042,Ciudad Constitución
043,Guerrero Negro
045,San José del Cabo
046,Santa Rosalía
050,Campeche
051,Calkiní
052,Ciudad del Carmen
053,Champotón
060,Gómez Palacio
060,Torreón
062,Ciudad Acuña
068,Monclova
071,Nava
072,Nueva Rosita
074,Parras de la Fuente
075,Piedras Negras
076,Ramos Arizpe
077,Sabinas
078,Saltillo
080,San Pedro de las Colonias
090,Colima
095,Manzanillo
097,Tecomán
100,Terán
100,Tuxtla Gutiérrez
103,Arriaga
107,Cintalapa
109,Comitán
109,Villa Las Rosas
111,Chiapa de Corso
113,F. Comalapa
114,Huixtla
123,Ocosingo
124,Ocozocuautla
125,Palenque
126,Pichucalco
127,Pijijiapan
128,Reforma
130,San Cristóbal de las Casas
131,Simojovel
133,Tapachula
135,Tonala
137,Venustiano Carranza
138,Villa Flores
140,Yajalón
150,Chihuahua
150,Ciudad Delicias
152,Ciudad Anáhuac
155,Ciudad Camargo
158,Ciudad Cuauhtémoc
161,Ciudad Guerrero
162,Parral
163,Ciudad Jiménez
164,Ciudad Juárez
165,Ciudad Madera
167,El Molino de Namiquipa
168,Nuevo Casas Grandes
180,Atizapan
180,Chalco
180,Ciudad de México
180,Coacalco
180,Cuautitlán
180,Cuautitlán Izcalli
180,Ecatepec
180,Huehuetoca
180,Huixquilucan
180,Ixtapaluca
180,Los Reyes La Paz
180,Naucalpan
180,Nezahualcóyotl
180,Tecamac
180,Teotihuacán
180,Texcoco
180,Tlalnepantla
190,Durango
201,Tepehuanes
202,Vicente Guerrero
210,Guanajuato
211,Abasolo
212,Acámbaro
213,Apaseo el Alto
214,Apaseo el Grande
215,Celaya
216,Comonfort
217,Coroneo
218,Cortazar
219,Cuerámaro
220,Dolores Hidalgo
222,Irapuato
223,Jaral del Progreso
224,Jerécuaro
225,León
226,Cd. Manuel Doblado
227,Moroleón
229,Pénjamo
232,Romita
233,Salamanca
234,Salvatierra
236,San Felipe
237,Purísima de Bustos
237,San Francisco del Rincoón
238,San José Iturbide
239,San Luis de la Paz
240,San Miguel Allende
244,Silao
247,Uriangato
248,Valle de Santiago
249,Yuriria
260,Chilpancingo
261,Acapulco
263,Arcelia
264,Atoyac de Álvarez
266,Ciudad Altamirano
267,Coyuca de Benítez
270,Chilapa
271,Huitzuco
272,Iguala
272,La Sabana
274,Cuajinicuilapa
274,Ometepec
275,San Marcos
276,Taxco
278,Teloloapan
281,Tlapa
282,Ixtapa Zihuatanejo
282,Zihuatanejo
290,Pachuca
291,Actopan
292,Apam
293,Atotonilco el Grande
294,Ciudad Sahagún
294,Teocaltiche
295,Cuautepec
296,Huejutla
297,Huichapan
298,Ixmiquilpan
303,Progreso de Obregón
305,Tepeapulco
308,Tizayuca
311,Tula de Allende
312,Tulancingo
313,Zacualtipán
314,Zimapán
320,El Salto
320,Guadalajara
320,San Pedro Tlaquepaque
320,Tlajomulco
320,Tonala
320,Zapopan
326,Ameca
327,Arandas
330,Atotonilco el Alto
331,Atequiza
333,Autlán
340,Casimiro Castillo
341,Cihuatlán
342,Ciudad Guzmán
346,Chapala
348,El Grullo
355,Ixtlahuacán del Río
356,Jalostotitlán
357,Jamay
361,La Barca
362,Lagos de Moreno
370,Ocotlán
373,Pihuamo
375,Las Juntas
375,Nuevo Vallarta
375,Pitillal
375,Puerto Vallarta
381,San Juan de los Lagos
384,San Miguel el Alto
385,San Patricio Melaque
386,Sayula
387,Tala
389,Tamazula de Gordiano
391,Tecalitlán
396,Tepatitlán
397,Tequila
403,Tototlán
404,Túxpam
411,Villa Hidalgo
413,Zacoalco de Torres
414,Zapotiltic
416,Zapotlanejo
420,Toluca
421,Acambay
422,Almoloya de Juárez
424,Amecameca
425,Apaxco
426,Atlacomulco
428,Coatepec de Harinas
430,Chicoloapan
431,Chiconcuac
432,El Oro
433,Ixtapan de la Sal
434,Ixtlahuaca
435,Jilotepec
438,Lerma
441,Metepec
443,Otumba
445,San Mateo Atenco
446,Tejupilco
448,Temascaltepec
449,Temoaya
450,Tenancingo
451,Tenago del Valle
453,Santiago Tiangistenco
455,Tultepec
456,Tultitlán
457,Valle de Bravo
460,Villa Nicolás Romero
463,Zumpango
470,Morelia
472,Aguililla
476,Apatzingán
480,Ciudad Hidalgo
483,Cotija
484,Cuitzeo
492,Huetamo
493,Jacona
494,Jiquilpan
496,La Piedad
497,Lázaro Cárdenas
498,Los Reyes
499,Maravatío
501,Nueva Italia
506,Pátzcuaro
508,Purépero
509,Puruandiro
512,Sahuayo
515,Tacámbaro
517,Tangancícuaro
519,Tepalcatepec
523,Tlazazalca
528,Uruapan
533,Yurécuaro
534,Zacapu
535,Zamora
536,Zinapécuaro
537,Zitácuaro
540,Cuernavaca
542,Cuautla
542,"Oaxtepec, Morelos"
543,Jiutepec
544,Jojutla
545,Puente de Ixtla
546,Temixco
548,Tetecala
549,Yautepec
552,Zacatepec
560,Tepic
561,Acaponeta
562,Ahuacatlán
564,Compostela
566,Ixtlán del Río
571,San Blas
573,Santiago Ixcuintla
575,Túxpam
580,Apodaca
580,Cadereyta
580,Cd. Guadalupe
580,General Escobedo
580,Monterrey
580,San Nicolás de los Garza
580,San Pedro Garza García
580,Santa Catarina
583,Allende
592,General Zuazua
595,Linares
597,Montemorelos
599,Sabinas Hidalgo
600,Salinas Victoria
601,El Cercado
601,Villa de Santiago
610,Oaxaca
613,Tlaxiaco
614,Huajuapan de León
616,Ixtepec
617,Juchitán
619,Loma Bonita
620,Matías Romero
621,Miahuatlán
622,Ocotlán
624,Puerto Escondido
626,Salina Cruz
627,Lagunas
628,Tuxtepec
630,Pochutla
631,San Pedro Tapanatepec
632,"Santa Lucía del Camino, O"
634,Bahías de Huatulco
635,Santiago Juxtlahuaca
636,Pinotepa Nacional
637,Tehuantepec
638,Tlacolula
640,Zimatlán
650,Cholula
650,La Resurrección
650,Puebla
650,San Baltazar Campeche
652,Acatzingo
654,Atlixco
656,Cuetzalan
659,Huauchinango
662,Izúcar de Matamoros
667,San Martín Texmelucan
668,San Felipe Hueyotlipan
669,Tecamachalco
670,Tehuacán
671,San Lorenzo
672,Teziutlán
674,Xicotepec de Juárez
676,Zacatlán
680,Pedro Escobedo
680,Querétaro
680,Villa Corregidora
681,Amealco
685,San Juan del Río
686,Tequisquiapan
690,Chetumal
691,Cancún
691,Col. Puerto Juárez
692,Cozumel
694,Playa del Carmen
700,San Luis Potosí
703,Cerritos
705,Ciudad Valles
709,Matehuala
711,Río Verde
716,Tamuín
730,Culiacán
735,Concordia
736,Cosala
737,Choix
738,El Fuerte
739,Escuinapa
740,Guamúchil
741,Guasave
743,Los Mochis
743,Topolobampo
744,Mazatlán
745,Mocorito
746,Navolato
760,Hermosillo
761,Agua Prieta
765,Caborca
766,Cananea
767,Ciudad Obregón
767,Esperanza
769,Empalme
770,Guaymas
770,San Carlos
771,Huatabampo
773,Magdalena
776,Nacozari de García
777,Navojoa
778,Nogales
779,Puerto Peñasco
780,San Luis Río Colorado
790,Tamulte
790,Villa Hermosa
792,Cárdenas
793,Ciudad Pemex
794,Comalcalco
796,Emiliano Zapata
797,Frontera
798,Huimanguillo
800,Jalpa de Méndez
802,Macuspana
803,Nacajuca
804,Paraíso
805,Tacotalpa
806,Teapa
807,Tenosique
810,Ciudad Victoria
811,Altamira
813,Ciudad Madero
813,Tampico
814,Ciudad Mante
818,Matamoros
821,Colombia
821,Nuevo Laredo
822,Reynosa
823,Río Bravo
825,Soto La Marina
826,Valle Hermoso
830,Tlaxcala
832,Apizaco
834,Santa Ana Chiautempan
840,Jalapa
841,Acayucan
843,Agua Dulce
845,Álamo
846,Altotonga
848,Banderilla
849,Boca del Río
852,Ciudad Mendoza
853,Coatepec
854,Coatzacoalcos
855,Córdoba
856,Cosamaloapan
860,Cuitláhuac
863,Fortín de las Flores
864,Gutiérrez Zamora
865,Huatusco
867,Isla
868,Ixtaczoquitlán
869,Jáltipan
871,Juan Rodríguez Clara
872,Villa José Cardel
873,Las Choapas
875,Naranjos
876,Martínez de la Torre
877,Minatitlán
878,Misantla
879,Nanchital
882,Orizaba
885,Papantla
886,Perote
888,Poza Rica
889,Río Blanco
890,San Andrés Tuxtla
891,San Rafael
894,Platón Sánchez
894,Tantoyuca
895,Tempoal
898,Tierra Blanca
901,Tlapacoyan
903,Túxpam de Rodríguez Cano
905,Cd. Industrial Framboyan
905,Veracruz
910,Mérida
913,Motul
914,Oxkutzcab
915,Progreso
917,Ticul
918,Tizimín
920,Valladolid
930,Zacatecas
933,Fresnillo
934,Guadalupe
935,Jalpa
936,Jerez de G. Salinas
938,Juchipila
939,Loreto
946,Nochistlán
958,Valparaíso
960,Calera de V. Rosales
